_id,MonthYear,Station,Station_Type,Entry_Exit,Trip
104,2020-10,Aberdeen Station,Train,Exit,Less than 50
105,2020-11,Aberdeen Station,Train,Entry,Less than 50
106,2020-11,Aberdeen Station,Train,Exit,Less than 50
107,2020-12,Aberdeen Station,Train,Entry,Less than 50
108,2020-12,Aberdeen Station,Train,Exit,Less than 50
109,2021-01,Aberdeen Station,Train,Entry,Less than 50
110,2021-01,Aberdeen Station,Train,Exit,Less than 50
111,2021-02,Aberdeen Station,Train,Entry,Less than 50
112,2021-02,Aberdeen Station,Train,Exit,Less than 50
113,2021-03,Aberdeen Station,Train,Entry,Less than 50
114,2021-03,Aberdeen Station,Train,Exit,Less than 50
115,2021-04,Aberdeen Station,Train,Entry,Less than 50
116,2021-04,Aberdeen Station,Train,Exit,Less than 50
117,2021-05,Aberdeen Station,Train,Entry,Less than 50
118,2021-05,Aberdeen Station,Train,Exit,Less than 50
119,2021-06,Aberdeen Station,Train,Entry,Less than 50
120,2021-06,Aberdeen Station,Train,Exit,Less than 50
121,2021-07,Aberdeen Station,Train,Entry,Less than 50
122,2021-07,Aberdeen Station,Train,Exit,Less than 50
123,2021-08,Aberdeen Station,Train,Entry,Less than 50
124,2021-08,Aberdeen Station,Train,Exit,Less than 50
125,2021-09,Aberdeen Station,Train,Entry,Less than 50
126,2021-09,Aberdeen Station,Train,Exit,Less than 50
127,2021-10,Aberdeen Station,Train,Entry,Less than 50
128,2021-10,Aberdeen Station,Train,Exit,Less than 50
129,2021-11,Aberdeen Station,Train,Entry,Less than 50
130,2021-11,Aberdeen Station,Train,Exit,Less than 50
131,2021-12,Aberdeen Station,Train,Entry,Less than 50
132,2021-12,Aberdeen Station,Train,Exit,Less than 50
133,2022-01,Aberdeen Station,Train,Entry,Less than 50
134,2022-01,Aberdeen Station,Train,Exit,Less than 50
135,2022-02,Aberdeen Station,Train,Entry,Less than 50
136,2022-02,Aberdeen Station,Train,Exit,Less than 50
137,2022-03,Aberdeen Station,Train,Entry,Less than 50
138,2022-03,Aberdeen Station,Train,Exit,Less than 50
139,2022-04,Aberdeen Station,Train,Entry,Less than 50
140,2022-04,Aberdeen Station,Train,Exit,Less than 50
141,2022-05,Aberdeen Station,Train,Entry,Less than 50
142,2022-05,Aberdeen Station,Train,Exit,Less than 50
143,2022-06,Aberdeen Station,Train,Entry,Less than 50
144,2022-06,Aberdeen Station,Train,Exit,Less than 50
145,2022-07,Aberdeen Station,Train,Entry,Less than 50
146,2022-07,Aberdeen Station,Train,Exit,Less than 50
147,2022-08,Aberdeen Station,Train,Entry,Less than 50
148,2022-08,Aberdeen Station,Train,Exit,Less than 50
149,2022-09,Aberdeen Station,Train,Entry,Less than 50
150,2022-09,Aberdeen Station,Train,Exit,Less than 50
151,2022-10,Aberdeen Station,Train,Entry,60
152,2022-10,Aberdeen Station,Train,Exit,Less than 50
153,2022-11,Aberdeen Station,Train,Entry,60
154,2022-11,Aberdeen Station,Train,Exit,Less than 50
155,2022-12,Aberdeen Station,Train,Entry,Less than 50
156,2022-12,Aberdeen Station,Train,Exit,Less than 50
157,2023-01,Aberdeen Station,Train,Entry,Less than 50
158,2023-01,Aberdeen Station,Train,Exit,Less than 50
159,2023-02,Aberdeen Station,Train,Entry,Less than 50
160,2023-02,Aberdeen Station,Train,Exit,Less than 50
161,2023-03,Aberdeen Station,Train,Entry,Less than 50
