MonthYear,Station,"Station_Type ",Entry_Exit,Trip
2024-07,Wirragulla Station,Train,Exit,Less than 50
2024-07,Wirragulla Station,Train,Entry,Less than 50
2024-07,Wolli Creek Station,Train,Exit,230563
2024-07,Wolli Creek Station,Train,Entry,229645
2024-07,Wollongong Station,Train,Exit,36976
2024-07,Wollongong Station,Train,Entry,37410
2024-07,Wollstonecraft Station,Train,Exit,48881
2024-07,Wollstonecraft Station,Train,Entry,53195
2024-07,Wombarra Station,Train,Exit,365
2024-07,Wombarra Station,Train,Entry,455
2024-07,Wondabyne Station,Train,Exit,412
2024-07,Wondabyne Station,Train,Entry,355
2024-07,Woodford Station,Train,Exit,1431
2024-07,Woodford Station,Train,Entry,1579
2024-07,Woolooware Station,Train,Exit,25343
2024-07,Woolooware Station,Train,Entry,26552
2024-07,Woonona Station,Train,Exit,1941
2024-07,Woonona Station,Train,Entry,2346
2024-07,Woy Woy Station,Train,Exit,79310
2024-07,Woy Woy Station,Train,Entry,78671
2024-07,Wyee Station,Train,Exit,5129
2024-07,Wyee Station,Train,Entry,5949
2024-07,Wynyard Station,Train,Exit,1594634
2024-07,Wynyard Station,Train,Entry,1501778
2024-07,Wyong Station,Train,Exit,28142
2024-07,Wyong Station,Train,Entry,29654
2024-07,Yagoona Station,Train,Exit,28683
2024-07,Yagoona Station,Train,Entry,32392
2024-07,Yennora Station,Train,Exit,27426
2024-07,Yennora Station,Train,Entry,27273
2024-07,Yerrinbool Station,Train,Exit,331
2024-07,Yerrinbool Station,Train,Entry,442
2024-07,Zig Zag Station,Train,Exit,Less than 50
2024-07,Zig Zag Station,Train,Entry,Less than 50
