MonthYear,Station,"Station_Type ",Entry_Exit,Trip
2024-07,Chester Hill Station,Train,Entry,24308
2024-07,Circular Quay Station,Train,Exit,629743
2024-07,Circular Quay Station,Train,Entry,619005
2024-07,Clarendon Station,Train,Exit,2880
2024-07,Clarendon Station,Train,Entry,2785
2024-07,Clyde Station,Train,Exit,23553
2024-07,Clyde Station,Train,Entry,24869
2024-07,Coalcliff Station,Train,Exit,254
2024-07,Coalcliff Station,Train,Entry,252
2024-07,Cockle Creek Station,Train,Exit,1170
2024-07,Cockle Creek Station,Train,Entry,1091
2024-07,Coledale Station,Train,Exit,483
2024-07,Coledale Station,Train,Entry,577
2024-07,Como Station,Train,Exit,12186
2024-07,Como Station,Train,Entry,14194
2024-07,Concord West Station,Train,Exit,43245
2024-07,Concord West Station,Train,Entry,46032
2024-07,Coniston Station,Train,Exit,4644
2024-07,Coniston Station,Train,Entry,4942
2024-07,Corrimal Station,Train,Exit,2455
2024-07,Corrimal Station,Train,Entry,2772
2024-07,Cowan Station,Train,Exit,1402
2024-07,Cowan Station,Train,Entry,1264
2024-07,Cringila Station,Train,Exit,273
2024-07,Cringila Station,Train,Entry,245
2024-07,Cronulla Station,Train,Exit,54861
2024-07,Cronulla Station,Train,Entry,58149
2024-07,Croydon Station,Train,Exit,48399
2024-07,Croydon Station,Train,Entry,52538
2024-07,Dapto Station,Train,Exit,10253
2024-07,Dapto Station,Train,Entry,11653
2024-07,Denistone Station,Train,Exit,11314
2024-07,Denistone Station,Train,Entry,13073
2024-07,Domestic Station,Train,Exit,194464
2024-07,Domestic Station,Train,Entry,218886
2024-07,Doonside Station,Train,Exit,59499
2024-07,Doonside Station,Train,Entry,64923
2024-07,Dora Creek Station,Train,Exit,833
2024-07,Dora Creek Station,Train,Entry,920
2024-07,Douglas Park Station,Train,Exit,489
2024-07,Douglas Park Station,Train,Entry,480
2024-07,Dulwich Hill Station,Train,Exit,44709
2024-07,Dulwich Hill Station,Train,Entry,49001
2024-07,Dundas Station,Train,Exit,2614
2024-07,Dundas Station,Train,Entry,2709
2024-07,Dungog Station,Train,Exit,305
2024-07,Dungog Station,Train,Entry,338
2024-07,East Hills Station,Train,Exit,17110
2024-07,East Hills Station,Train,Entry,18322
2024-07,East Maitland Station,Train,Exit,395
2024-07,East Maitland Station,Train,Entry,421
2024-07,East Richmond Station,Train,Exit,5613
2024-07,East Richmond Station,Train,Entry,4500
2024-07,Eastwood Station,Train,Exit,181824
2024-07,Eastwood Station,Train,Entry,179771
2024-07,Edgecliff Station,Train,Exit,183758
2024-07,Edgecliff Station,Train,Entry,186447
2024-07,Edmondson Park Station,Train,Exit,95188
2024-07,Edmondson Park Station,Train,Entry,98245
2024-07,Emu Plains Station,Train,Exit,22474
2024-07,Emu Plains Station,Train,Entry,23905
2024-07,Engadine Station,Train,Exit,21041
2024-07,Engadine Station,Train,Entry,22560
2024-07,Epping Station,Shared,Exit,312242
2024-07,Epping Station,Shared,Entry,318659
2024-07,Erskineville Station,Train,Exit,56374
2024-07,Erskineville Station,Train,Entry,63434
2024-07,Exeter Station,Train,Exit,54
2024-07,Exeter Station,Train,Entry,86
2024-07,Fairfield Station,Train,Exit,139758
2024-07,Fairfield Station,Train,Entry,142942
2024-07,Fairy Meadow Station,Train,Exit,1926
2024-07,Fairy Meadow Station,Train,Entry,2218
2024-07,Fassifern Station,Train,Exit,9381
2024-07,Fassifern Station,Train,Entry,10460
2024-07,Faulconbridge Station,Train,Exit,1847
2024-07,Faulconbridge Station,Train,Entry,1937
2024-07,Flemington Station,Train,Exit,120735
2024-07,Flemington Station,Train,Entry,126873
2024-07,Gerringong Station,Train,Exit,931
2024-07,Gerringong Station,Train,Entry,1008
2024-07,Glenbrook Station,Train,Exit,8399
2024-07,Glenbrook Station,Train,Entry,8978
2024-07,Glenfield Station,Train,Exit,116585
2024-07,Glenfield Station,Train,Entry,122947
2024-07,Gordon Station,Train,Exit,140055
2024-07,Gordon Station,Train,Entry,142520
2024-07,Gosford Station,Train,Exit,100439
2024-07,Gosford Station,Train,Entry,100886
2024-07,Goulburn Station,Train,Exit,901
2024-07,Goulburn Station,Train,Entry,1142
2024-07,Granville Station,Train,Exit,166515
2024-07,Granville Station,Train,Entry,176591
2024-07,Green Square Station,Train,Exit,259323
2024-07,Green Square Station,Train,Entry,269355
2024-07,Greta Station,Train,Exit,Less than 50
2024-07,Greta Station,Train,Entry,Less than 50
2024-07,Guildford Station,Train,Exit,66310
2024-07,Guildford Station,Train,Entry,73452
2024-07,Gymea Station,Train,Exit,39062
2024-07,Gymea Station,Train,Entry,42343
2024-07,Hamilton Station,Train,Exit,14817
2024-07,Hamilton Station,Train,Entry,14748
2024-07,Harris Park Station,Train,Exit,68848
2024-07,Harris Park Station,Train,Entry,68049
2024-07,Hawkesbury River Station,Train,Exit,5864
2024-07,Hawkesbury River Station,Train,Entry,6210
2024-07,Hazelbrook Station,Train,Exit,5668
2024-07,Hazelbrook Station,Train,Entry,6022
2024-07,Heathcote Station,Train,Exit,9259
2024-07,Heathcote Station,Train,Entry,9676
2024-07,Helensburgh Station,Train,Exit,6574
2024-07,Helensburgh Station,Train,Entry,7055
2024-07,Hexham Station,Train,Exit,189
2024-07,Hexham Station,Train,Entry,172
2024-07,High Street Station,Train,Exit,384
