sa2_name,pop_density
Edgeworth - Cameron Park,1157.0
Morisset - Cooranbong,61.5
Toronto - Awaba,322.4
Wangi Wangi - Rathmines,731.3
West Wallsend - Barnsley - Killingworth,102.7
Adamstown - Kotara,2160.8
Beresfield - Hexham,146.5
Hamilton - Broadmeadow,1951.0
Lambton - New Lambton,1677.3
Maryland - Fletcher - Minmi,1014.3
Mayfield - Warabrook,2117.8
Merewether - The Junction,2043.5
Newcastle - Cooks Hill,3586.4
Newcastle Port - Kooragang,0.9
Shortland - Jesmond,1098.1
Stockton - Fullerton Cove,312.7
Wallsend - Elermore Vale,1007.9
Waratah - North Lambton,2554.8
Wickham - Carrington - Tighes Hill,2872.4
Ballina,520.2
Ballina Surrounds,46.9
Bangalow,39.6
Brunswick Heads - Ocean Shores,176.2
Byron Bay,282.2
Evans Head,10.9
Lennox Head - Skennars Head,263.2
Mullumbimby,35.1
Casino,88.4
Casino Surrounds,1.9
Goonellabah,556.0
Kyogle,3.9
Lismore,220.5
Lismore Surrounds,13.0
Kingscliff - Fingal Head,395.5
Murwillumbah,389.5
Murwillumbah Surrounds,11.8
Pottsville,77.0
Tweed Heads,211.9
Banora Point,1758.9
Terranora - North Tumbulgum,116.9
Tweed Heads South,1013.9
Griffith (NSW),367.3
Griffith Surrounds,0.6
Leeton,27.6
Narrandera,1.1
Tumbarumba,0.8
Tumut,164.4
Tumut Surrounds,1.0
Cootamundra,4.7
Gundagai,1.6
Junee,3.2
Temora,1.9
Wagga Wagga - East,313.3
Wagga Wagga - North,113.7
Wagga Wagga - South,788.0
Wagga Wagga - West,213.6
Wagga Wagga Surrounds,2.0
Berry - Kangaroo Valley,17.5
Callala Bay - Currarong,21.4
Culburra Beach,65.7
Ettrema - Sassafras - Budawang,0.0
Huskisson - Vincentia,161.2
North Nowra - Bomaderry,164.5
Nowra,232.6
St Georges Basin - Erowal Bay,199.8
Sussex Inlet - Berrara,120.6
Tomerong - Wandandian - Woollamia,10.1
Ulladulla,372.7
Ulladulla Surrounds,8.8
Bowral,242.1
Hill Top - Colo Vale,37.6
Mittagong,152.7
Moss Vale - Berrima,93.1
Robertson - Fitzroy Falls,7.8
Southern Highlands,5.2
Baulkham Hills - East,3021.5
Baulkham Hills (West) - Bella Vista,2123.4
Glenhaven,883.7
West Pennant Hills,1598.3
Castle Hill - Central,2005.0
Castle Hill - East,2598.5
